央视,#genre#
CCTV-14,http://192.151.150.154/live/cctv14.m3u8
CCTV-15,http://192.151.150.154/live/cctv15.m3u8
CCTV-16,http://192.151.150.154/live/cctv16.m3u8
CCTV-17,http://192.151.150.154/live/cctv17.m3u8
CCTV-5+,http://192.151.150.154/live/cctv5p.m3u8
CCTV-4K超高清,http://192.151.150.154/live/cctv4k.m3u8
CCTV-8K超高清,http://192.151.150.154/live/cctv8k.m3u8
CCTV-1,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-1H265_4000.m3u8
CCTV-2,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-2H265_4000.m3u8
CCTV-3,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-3H265_4000.m3u8
CCTV-4,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-4H265_4000.m3u8
CCTV-5,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5H265_4000.m3u8
CCTV-5+,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5plusH265_4000.m3u8
CCTV-6,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-6H265_4000.m3u8
CCTV-7,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-7H265_4000.m3u8
CCTV-8,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-8H265_4000.m3u8
CCTV-9,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-9H265_4000.m3u8
CCTV-10,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-10H265_4000.m3u8
CCTV-11,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-11-H265_4000.m3u8
CCTV-12,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-12H265_4000.m3u8
CCTV-13,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-xw_4000.m3u8
CCTV-14,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-14H265_4000.m3u8
CCTV-15,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-15-yyH265_4000.m3u8
CCTV-16,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16_4000.m3u8
CCTV-16,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16-4K_8000.m3u8
CCTV-17,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-17_4000.m3u8
CCTV4K,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/ys4Kcq_2000.m3u8

卫视,#genre#
河北卫视,http://117.72.203.216:3000/962042070
东南卫视,http://117.72.203.216:3000/849116810
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahws.m3u8?auth=testpub
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjws.m3u8?auth=testpub
兵团卫视,http://38.75.136.137:98/gslb/dsdqpub/btws.m3u8?auth=testpub
重庆卫视,http://38.75.136.137:98/gslb/dsdqpub/cqws.m3u8?auth=testpub
大湾区卫视(国际版),http://38.75.136.137:98/gslb/dsdqpub/gdgj.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfws.m3u8?auth=testpub
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnws.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdws.m3u8?auth=testpub
甘肃卫视,http://38.75.136.137:98/gslb/dsdqpub/gsws.m3u8?auth=testpub
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxws.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzws.m3u8?auth=testpub
河南卫视,http://38.75.136.137:98/gslb/dsdqpub/haws.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbws.m3u8?auth=testpub
河北卫视,http://38.75.136.137:98/gslb/dsdqpub/hews.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljws.m3u8?auth=testpub
湖南卫视,http://38.75.136.137:98/gslb/dsdqpub/hnws.m3u8?auth=testpub
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlws.m3u8?auth=testpub
江苏卫视,http://38.75.136.137:98/gslb/dsdqpub/jsws.m3u8?auth=testpub
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxws.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnws.m3u8?auth=testpub
大湾区卫视,http://38.75.136.137:98/gslb/dsdqpub/nfws.m3u8?auth=testpub
内蒙古卫视,http://38.75.136.137:98/gslb/dsdqpub/nmgws.m3u8?auth=testpub
宁夏卫视,http://38.75.136.137:98/gslb/dsdqpub/nxws.m3u8?auth=testpub
青海卫视,http://38.75.136.137:98/gslb/dsdqpub/qhws.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scws.m3u8?auth=testpub
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdws.m3u8?auth=testpub
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/snws.m3u8?auth=testpub
三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub
山西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxws.m3u8?auth=testpub
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szws.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjws.m3u8?auth=testpub
新疆卫视,http://38.75.136.137:98/gslb/dsdqpub/xjws.m3u8?auth=testpub
厦门卫视,http://38.75.136.137:98/gslb/dsdqpub/xmws.m3u8?auth=testpub
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynws.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjws.m3u8?auth=testpub
湖南卫视,http://107.150.60.122/live/hnws.m3u8
东方卫视,http://107.150.60.122/live/dfws.m3u8
浙江卫视,http://107.150.60.122/live/zjws.m3u8
江苏卫视,http://107.150.60.122/live/jsws.m3u8
重庆卫视,http://107.150.60.122/live/cqws.m3u8
东南卫视,http://107.150.60.122/live/dnws.m3u8
广西卫视,http://107.150.60.122/live/gxws.m3u8
湖北卫视,http://107.150.60.122/live/hbws.m3u8
辽宁卫视,http://107.150.60.122/live/lnws.m3u8
山东卫视,http://107.150.60.122/live/sdws.m3u8
天津卫视,http://107.150.60.122/live/tjws.m3u8
陕西卫视,http://107.150.60.122/live/snws.m3u8
广东卫视,http://107.150.60.122/live/gdws.m3u8
深圳卫视,http://107.150.60.122/live/szws.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8
湖南卫视,http://192.151.150.154/live/hnws.m3u8
东方卫视,http://192.151.150.154/live/dfws.m3u8
浙江卫视,http://192.151.150.154/live/zjws.m3u8
江苏卫视,http://192.151.150.154/live/jsws.m3u8
重庆卫视,http://192.151.150.154/live/cqws.m3u8
东南卫视,http://192.151.150.154/live/dnws.m3u8
广西卫视,http://192.151.150.154/live/gxws.m3u8
湖北卫视,http://192.151.150.154/live/hbws.m3u8
辽宁卫视,http://192.151.150.154/live/lnws.m3u8
山东卫视,http://192.151.150.154/live/sdws.m3u8
天津卫视,http://192.151.150.154/live/tjws.m3u8
陕西卫视,http://192.151.150.154/live/snws.m3u8
广东卫视,http://192.151.150.154/live/gdws.m3u8
深圳卫视,http://192.151.150.154/live/szws.m3u8
青海卫视,http://192.151.150.154/live/qhws.m3u8
西藏卫视,http://192.151.150.154/live/xzws.m3u8
大湾区卫视,http://192.151.150.154/live/nfws.m3u8
北京卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/bjwsH265_4000.m3u8
东方卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/dfwsH265_4000.m3u8
天津卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/tjwsH265_4000.m3u8
重庆卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/cqwsH265_4000.m3u8
黑龙江卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/hljwsH265_4000.m3u8
吉林卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/jlwsH265_4000.m3u8
辽宁卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/lnwsH264_4000.m3u8
内蒙古卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/nmgws_4000.m3u8
甘肃卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/gsws_4000.m3u8
青海卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/qhwsH264_2000.m3u8
陕西卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/sxws_4000.m3u8
山西卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/sxws42_4000.m3u8
山东卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/sdwsH265_4000.m3u8
安徽卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/ahwsH265_4000.m3u8
河南卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/hnws35_4000.m3u8
湖北卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/hbwsH265_4000.m3u8
湖南卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/hnwsH265_4000.m3u8
江西卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/jxwsH265_4000.m3u8
江苏卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/jswsH265_4000.m3u8
浙江卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/zjwsH265_4000.m3u8
东南卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/dnwsfjwsH265_4000.m3u8
广东卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/gdwsH265_4000.m3u8
深圳卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/szwsH265_4000.m3u8
广西卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/gxws_4000.m3u8
云南卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/ynws_4000.m3u8
贵州卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/gzwsH265_4000.m3u8
四川卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/scwsH265_4000.m3u8
康巴卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/kbwsH264_2000.m3u8
新疆卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjws_4000.m3u8
兵团卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/btws_4000.m3u8
西藏卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/xzwsH264_2000.m3u8
海南卫视,http://124.236.93.22:2380/hw1live.rxip.sc96655.com.huan.tv/live/hnws_4000.m3u8
广东体育,http://38.75.136.137:98/gslb/dsdqpub/gdty.m3u8?auth=testpub
广东体育,http://192.151.150.154/live/gdty.m3u8
广东体育,http://67.220.71.199:2347/livehttpplay?channel_id=12028

广东,#genre#
广东珠江,http://116.28.96.197:8888/rtp/239.77.0.1:5146
广东珠江,http://116.28.96.197:8888/rtp/239.77.1.94:5146
广东珠江,http://116.28.96.197:8888/rtp/239.77.0.114:5146
广东新闻,http://116.28.96.197:8888/rtp/239.77.0.173:5146
广东影视,http://116.28.96.197:8888/rtp/239.77.0.217:5146
广东民生,http://116.28.96.197:8888/rtp/239.77.0.225:5146
广东少儿,http://116.28.96.197:8888/rtp/239.77.0.250:5146
广东现代教育,http://116.28.96.197:8888/rtp/239.77.0.213:5146
广东经济科教,http://116.28.96.197:8888/rtp/239.77.0.85:5146
广东经济科教,http://116.28.96.197:8888/rtp/239.77.0.167:5146
岭南戏曲,http://116.28.96.197:8888/rtp/239.77.0.122:5146
广东体育,http://116.28.96.197:8888/rtp/239.77.0.112:5146
广东体育,http://116.28.96.197:8888/rtp/239.77.0.168:5146
广东体育,http://116.28.96.197:8888/rtp/239.77.1.97:5146
广东综艺4K,http://116.28.96.197:8888/rtp/239.77.0.244:5146
广东综艺4K,http://116.28.96.197:8888/rtp/239.77.0.245:5146
广东综艺4K,http://116.28.96.197:8888/rtp/239.77.1.237:5146
南国都市4K,http://116.28.96.197:8888/rtp/239.253.43.99:5146
广州综合,http://116.28.96.197:8888/rtp/239.253.43.71:5146
广州新闻,http://116.28.96.197:8888/rtp/239.253.43.72:5146
广州法治,http://116.28.96.197:8888/rtp/239.253.43.74:5146
深圳少儿,http://116.28.96.197:8888/rtp/239.77.1.244:5146
深圳电视剧,http://116.28.96.197:8888/rtp/239.77.1.125:5146
深圳电视剧,http://116.28.96.197:8888/rtp/239.77.1.177:5146
深圳财经,http://116.28.96.197:8888/rtp/239.77.1.242:5146
深圳龙岗,http://116.28.96.197:8888/rtp/239.77.1.223:5146
深圳宝安,http://116.28.96.197:8888/rtp/239.77.1.67:5146
深圳体育健康,http://116.28.96.197:8888/rtp/239.77.1.128:5146
深圳体育健康,http://116.28.96.197:8888/rtp/239.77.1.140:5146
深圳宜和购物,http://116.28.96.197:8888/rtp/239.77.1.87:5146
东莞综合,http://116.28.96.197:8888/rtp/239.253.43.104:5146
东莞生活资讯,http://116.28.96.197:8888/rtp/239.253.43.105:5146
佛山综合,http://116.28.96.197:8888/rtp/239.253.43.57:5146
佛山南海,http://116.28.96.197:8888/rtp/239.253.43.54:5146
佛山城市生活,http://116.28.96.197:8888/rtp/239.253.43.53:5146
佛山顺德,http://116.28.96.197:8888/rtp/239.253.43.55:5146
江门综合,http://116.28.96.197:8888/rtp/239.77.0.201:5146
南方购物,http://116.28.96.197:8888/rtp/239.77.0.19:5146
南方购物,http://116.28.96.197:8888/rtp/239.77.0.22:5146
汕头综合,http://116.28.96.197:8888/rtp/239.77.1.130:5146
汕头综合,http://116.28.96.197:8888/rtp/239.253.43.45:5146
汕头经济生活,http://116.28.96.197:8888/rtp/239.77.1.131:5146
汕头经济生活,http://116.28.96.197:8888/rtp/239.253.43.46:5146
汕尾新闻综合,http://116.28.96.197:8888/rtp/239.77.0.25:5146
汕尾文化生活,http://116.28.96.197:8888/rtp/239.77.0.187:5146
揭阳综合,http://116.28.96.197:8888/rtp/239.77.0.229:5146
揭阳生活,http://116.28.96.197:8888/rtp/239.77.0.251:5146
潮州综合,http://116.28.96.197:8888/rtp/239.253.43.70:5146
潮州民生,http://116.28.96.197:8888/rtp/239.253.43.75:5146
河源综合,http://116.28.96.197:8888/rtp/239.253.43.213:5146
河源生活,http://116.28.96.197:8888/rtp/239.253.43.214:5146
惠州1,http://116.28.96.197:8888/rtp/239.77.1.232:5146
惠州2,http://116.28.96.197:8888/rtp/239.77.1.233:5146
梅州综合,http://116.28.96.197:8888/rtp/239.253.43.123:5146
梅州客家生活,http://116.28.96.197:8888/rtp/239.253.43.124:5146
中山综合,http://116.28.96.197:8888/rtp/239.253.43.62:5146
中山综合,http://116.28.96.197:8888/rtp/239.77.0.185:5146
中山香山文化,http://116.28.96.197:8888/rtp/239.253.43.63:5146
云浮综合,http://116.28.96.197:8888/rtp/239.77.0.253:5146
云浮文旅,http://116.28.96.197:8888/rtp/239.77.0.254:5146
清远综合,http://116.28.96.197:8888/rtp/239.253.43.33:5146
湛江公共,http://116.28.96.197:8888/rtp/239.77.0.140:5146
肇庆生活服务,http://116.28.96.197:8888/rtp/239.253.43.2:5146
肇庆综合,http://116.28.96.197:8888/rtp/239.253.43.1:5146
珠海1,http://116.28.96.197:8888/rtp/239.77.0.155:5146
茂名综合,http://116.28.96.197:8888/rtp/239.77.0.206:5146
茂名文化生活,http://116.28.96.197:8888/rtp/239.77.0.207:5146
韶关综合,http://116.28.96.197:8888/rtp/239.77.0.117:5146
广东九画面,http://116.28.96.197:8888/rtp/239.77.1.234:5146

少儿,#genre#


港澳,#genre#
凤凰咨询,http://feilong123.vip/409990236/hktv.php?id=1
凤凰香港,http://feilong123.vip/409990236/hktv.php?id=2
凤凰中文,http://feilong123.vip/409990236/hktv.php?id=3
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB 开,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
澳視澳门,http://iptv.4666888.xyz/iptv2A.php?id=41
中國電影,http://iptv.4666888.xyz/iptv2A.php?id=61
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
非凡新聞,http://iptv.4666888.xyz/iptv2A.php?id=44
愛奇藝,http://iptv.4666888.xyz/iptv2A.php?id=21
靖天電影,http://iptv.4666888.xyz/iptv2A.php?id=56
東森電影,http://iptv.4666888.xyz/iptv2A.php?id=48
緯來電影,http://iptv.4666888.xyz/iptv2A.php?id=54
龍華電影,http://iptv.4666888.xyz/iptv2A.php?id=45
龍華洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
風雲恐怖電影,http://iptv.4666888.xyz/iptv2A.php?id=59
KTSF26洛杉磯三藩市,http://38.64.72.148/hls/modn/list/4026/chunklist0.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148/hls/modn/list/4026/chunklist1.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148/hls/modn/list/4026/playlist.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148:80/hls/modn/list/4026/chunklist0.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148:80/hls/modn/list/4026/chunklist1.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148:80/hls/modn/list/4026/playlist.m3u8
中旺電視,http://38.64.72.148/hls/modn/list/4010/chunklist0.m3u8
中旺電視,http://38.64.72.148/hls/modn/list/4010/chunklist1.m3u8
中旺電視,http://38.64.72.148/hls/modn/list/4010/playlist.m3u8
中旺電視,http://38.64.72.148:80/hls/modn/list/4010/chunklist0.m3u8
中旺電視,http://38.64.72.148:80/hls/modn/list/4010/playlist.m3u8
美國城市衛視,http://38.64.72.148/hls/modn/list/4028/chunklist0.m3u8
美國城市衛視,http://38.64.72.148/hls/modn/list/4028/chunklist1.m3u8
美國城市衛視,http://38.64.72.148/hls/modn/list/4028/playlist.m3u8
美國城市衛視,http://38.64.72.148:80/hls/modn/list/4028/chunklist0.m3u8
美國城市衛視,http://38.64.72.148:80/hls/modn/list/4028/chunklist1.m3u8
美國城市衛視,http://38.64.72.148:80/hls/modn/list/4028/playlist.m3u8
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk
香港C+_-频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
凤凰电影,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
HOY76,https://php.946985.filegear-sg.me/iptv/jacktv.php?id=7tad3n
HOY78,https://php.946985.filegear-sg.me/iptv/jacktv.php?id=38q53s
NOW爆谷台,https://php.946985.filegear-sg.me/iptv/jacktv.php?id=h7kw14
NOW星影台,https://php.946985.filegear-sg.me/iptv/jacktv.php?id=07jkor
澳视葡文,http://103.233.191.134:1935/ch2/ch2.live/playlist.m3u8
澳视卫星,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8
凤凰中文,http://219.145.93.74:10000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$陕西电信酒店
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
HOY TV[HOY TV],http://67.220.71.199:2347/livehttpplay?channel_id=20152
TVB plus 超清,http://67.220.71.199:2347/livehttpplay?channel_id=30023
TVB亞洲劇臺[TVB Asian Select],http://67.220.71.199:2347/livehttpplay?channel_id=13022
TVB娛樂新聞,http://iptv.4666888.xyz/iptv2A.php?id=36
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
凤凰中文,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰电影,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0%24%E6%B5%99%E6%B1%9F/%E7%BB%8D%E5%85%B4/%E7%94%B5%E4%BF%A1
凤凰电影台,http://www.liyajun.top:7088/udp/239.253.93.81:6247
明珠台超清[Pearl +],http://67.220.71.199:2347/livehttpplay?channel_id=30026
明珠台高清[Pearl ],http://67.220.71.199:2347/livehttpplay?channel_id=20125
澳视澳门,https://cdn6.101.qzz.io/163189/asam
澳门澳视,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳门综艺,http://103.233.191.134:1935/ch6/_ch6.live/playlist.m3u8
澳门资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
無線新聞台超清[TVB News +],http://67.220.71.199:2347/livehttpplay?channel_id=30024
無線新聞台高清[TVB News,http://67.220.71.199:2347/livehttpplay?channel_id=20123
爱尔达综合,http://iptv.4666888.xyz/iptv2A.php?id=49
美亚电影(台),http://iptv.4666888.xyz/iptv2A.php?id=30
翡翠台超清[Jade +],http://67.220.71.199:2347/livehttpplay?channel_id=30025
ViuTV +,http://67.220.71.199:2347/livehttpplay?channel_id=30032
ViuTV6 +,http://67.220.71.199:2347/livehttpplay?channel_id=30033
ViuTV6高清[ViuTV6 ],http://67.220.71.199:2347/livehttpplay?channel_id=20132
ViuTV高清[ViuTV ],http://67.220.71.199:2347/livehttpplay?channel_id=20131
VTV5_TN,https://liveh12.vtvprime.vn/hls/VTV5_TN/03.m3u8
VTV5_TNB,https://liveh12.vtvprime.vn/hls/VTV5_TNB/01.m3u8
港臺電視31超清[RTHK TV 31 +],http://67.220.71.199:2347/livehttpplay?channel_id=30066
港臺電視31高清[RTHK TV 31 ],http://67.220.71.199:2347/livehttpplay?channel_id=20203
港臺電視32超清[RTHK TV 32 +],http://67.220.71.199:2347/livehttpplay?channel_id=30067
港臺電視32高清[RTHK TV 32 ],http://67.220.71.199:2347/livehttpplay?channel_id=30028
HK第一台,https://rthkaudio1-lh.akamai.net/i/radio1_1@355864/master.m3u8
HK第二台,https://rthkaudio2-lh.akamai.net/i/radio2_1@355865/master.m3u8
香港電台第二台 RTHK Radio 2 – Kowloon HK,https://rthkradio2-live.akamaized.net/hls/live/2040078/radio2/index_64_a.m3u8
星河音乐台,http://stream.hndt.com/live/1061/playlist.m3u8
HK第三台,https://rthkaudio3-lh.akamai.net/i/radio3_1@355866/master.m3u8
HK第四台,https://rthkaudio4-lh.akamai.net/i/radio4_1@355867/master.m3u8
HK第五台,https://rthkaudio5-lh.akamai.net/i/radio5_1@355868/master.m3u8
香港電台第五台 – RTHK Radio 5 – Kowloon HK,https://rthkradio5-live.akamaized.net/hls/live/2040081/radio5/master.m3u8
HK普通话台,https://rthkaudio6-lh.akamai.net/i/radiopth_1@355869/master.m3u8
